AED모델명,우편번호(앞자리),우편번호(뒤자리),관리책임자명,관리자연락처,설치기관주소,설치기관전화번호,설치위치,제조사,설치기관명,경도,위도
HeartStart HS1,43,73,이**,02-*******,서울특별시 용산구 청파로 52 한국마사회 용산지사 (한강로3가),02-2199-9999,17층,필립스,한국마사회 용산지사(렛츠런 재단),126.957182,37.53223715
Reheart NT381,33,72,송**,02-*******,"서울특별시 은평구 통일로 630  (녹번동, 래미안베라힐즈)",02-3157-8878,"커뮤니티내 1층,211동 210동 사이",(주) 나눔테크,래미안 베리힐즈 아파트,126.9359531,37.60284668
Powerheart AED G5,31,28,박**,010********,서울특별시 종로구 대학로3길 29 100주년기념관 본관1층 엘리베이터앞 (연지동),02-744-0103,서울특별시 종로구 대학로3길29 본관1층 엘리베이터옆,CARDIAC,100주년기념관,127.0005971,37.57456568
HeartOn A10-G4,70,62,주**,010********,"서울특별시 동작구 여의대방로20나길 39, 서울시립발달장애인복지관 (신대방동)",02-840-1509,서울시립발달장애복지관 1층 입구 기획경영팀 앞,메디아나,서울시립발달장애인복지관,126.918173,37.49055728
HeartOn A10-G4,69,45,박**,02-******,서울특별시 동작구 여의대방로36길 11  (대방동),02-823-4567,3F 로비,메디아나,서울동작구육아종합지원센터,126.9229638,37.50461494
HeartOn A10,69,8,고**,010********,서울특별시 동작구 노량진로32길 53  (본동),02-821-8600,1층 현관,메디아나,구립동작실버센터,126.9572184,37.5116033
HeartPlus NT-180,43,90,박**,02-*******,서울특별시 용산구 녹사평대로 150 용산구의회 (이태원동),02-2199-8785,용산구의회 정문입구,(주)나눔테크,용산구청 용산구의회,126.9904788,37.53245229
HeartPlus NT-180,28,43,조**,926****,"서울특별시 성북구 고려대로17가길 46, 용문중고등학교 (안암동2가)",02-928-3871,1층 보건실 앞,(주)나눔테크,용문고등학교,127.0246601,37.58869069
i-PAD NF1200,50,69,김**,02-*******,서울특별시 광진구 뚝섬로37길 28 자양고등학교 (자양동),02-2049-4100,자양고등학교 본관 1층 중앙현관,씨유메디칼시스템,자양고등학교,127.0733395,37.53607797
i-PAD NF1200,50,69,김**,02-*******,서울특별시 광진구 뚝섬로37길 28 자양고등학교 (자양동),02-2049-4100,자양고등학교 체육관 1층 입구,씨유메디칼시스템,자양고등학교,127.0733395,37.53607797
HR-501-B,77,2,박**,02-******,서울특별시 강서구 화곡로 179 대한상공회의소 서울기술교육센터 (화곡동),02-311-1071,서울기술교육센터 3층 승강기 앞,라디안큐바이오,대한상공회의소 서울기술교육센터,126.8412867,37.54230973
NT-381,33,1,김**,010********,서울특별시 은평구 진관3로 73-17  (진관동),0,1층 건강나눔터 앞 복도,나눔테크,은빛초등학교,126.9190801,37.64266166
G3 AED,47,73,박**,02-******,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",02-468-0520,"커뮤니티센터 카페테리아 앞(101동,102동 사이)",Cardiac Science,트리마제아파트,127.0446715,37.53925787
HeartPlus NT-180,43,90,김**,010********,서울특별시 용산구 녹사평대로 150 용산구보건소,02-2199-8184,보건소 지하1층 건강관리센터 내,(주)나눔테크,용산구보건소,126.9904783,37.53245265
HeartPlus NT-180,86,8,김**,02-******,"서울특별시 금천구 벚꽃로 40  (독산동, 금천롯데캐슬골드파크1차아파트)",02-809-8406,관리사무실,(주)나눔테크,금천롯데캐슬골드파크1차아파트(1743세대),126.8928436,37.46005722
HeartPlus NT-180,86,55,한**,02-******,"서울특별시 금천구 금하로 793  (시흥동, 벽산1단지아파트)",02-896-0736,관리사무실,(주)나눔테크,시흥벽산1단지아파트(1246세대),126.9182476,37.45221349
HeartPlus NT-180,86,39,한**,010********,서울특별시 금천구 시흥대로 97  (시흥동),02-6745-3030,B지원동 지하 B31-1호,나눔테크,시흥유통상가,126.9010724,37.44468212
HeartPlusNT-180,39,68,소**,02-*******,서울특별시 마포구 성미산로7길 24 서울성서초등학교 (성산동),02-3141-9544,1층 방송실 맞은 편,나눔테크,서울성서초등학교,126.9112887,37.5605489
HeartPlusNT180,87,35,문**,884****,"서울특별시 관악구 관악로30길 12  (봉천동, 봉천우성아파트)",884-3744,3동앞 3경비초소,(주)나눔테크,관악우성아파트,126.9594028,37.48589115
A15M-G4-OK,135,270,김**,346*****,서울특별시 강남구 논현로 213 (도곡동) 역삼럭키아파트,3462-1077,102동 9-10라인 경비실 입구 좌측 벽면,메디아나,역삼럭키아파트,127.0403457,37.49130629
Heart Plus NT-180,45,82,이**,02-*******,"서울특별시 중구 다산로36길 109 신당현대아파트 (신당동, 현대아파트)",02-2235-0993,관리실,(주)나눔테크,신당현대아파트,127.0229712,37.56050431
861304 HeartStart FRx Defibril,43,99,김**,02-*******,서울특별시 용산구 이태원로 274 용산전통공예문화체험관 (한남동),02-2199-6185,공예관 3층 승강기 옆,필립스,용산구청 용산공예관,127.0020774,37.53902672
HeartPlus NT-180,45,95,성**,010********,"서울특별시 중구 다산로 32 남산타운아파트 제2관리사무소 (신당동, 남산타운)",02-2256-0037,관리동 3층 제2관리사무소,(주)나눔테크,남산타운아파트(임대),127.0056761,37.54716803
HEARTSATART HS1,55,51,목**,010********,서울특별시 송파구 올림픽로 300 롯데월드타워 42층 시그니엘레지던스 (신천동),02-3213-6100,42층 컨시어시데스크,필립스,롯데월드타워시그니엘레지던스,127.1028438,37.51244205
CU-SP1 PLUS,80,97,양**,02-*******,"서울특별시 양천구 목동동로 50 (신정동, 목동신시가지아파트12단지)",02-2649-6061,관리사무소,(주)씨유메디칼시스템,목동12단지아파트,126.8602892,37.51209425
HeartPlus NT-180,40,5,곽**,02-******,서울특별시 마포구 마포나루길 435 망원한강치안센터 (망원동),02-700-2863,센터 내 출입구,나눔테크,망원한강치안센터,126.8962821,37.55401453
Heartplus NT-180,39,77,이**,02-*******,서울특별시 마포구 성미산로 111 경성고등학교 (연남동),02-3140-1165,본관 내 서쪽현관 좌측,나눔테크,경성고등학교,126.9191663,37.56351064
HeartOn A10,16,95,정**,02-*******,"서울특별시 노원구 노해로 507, 와우쇼핑몰 7~8층 (상계동)",02-2289-0717,7층 병동,메디아나,자생한방병원,127.0638891,37.65542724
HR-501-B,65,3,하**,347*****,"서울특별시 서초구 신반포로15길 19  (반포동, 아크로리버파크)",3478-2904,보안실,라디안큐바이오,아크로리버파크아파트,126.9926712,37.50625164
HR-501-B,65,3,하**,347*****,"서울특별시 서초구 신반포로15길 19  (반포동, 아크로리버파크)",3478-2904,커뮤니티안내데스크,라디안큐바이오,아크로리버파크아파트,126.9926712,37.50625164
HeartGuardian HR-501,42,2,안**,010********,"서울특별시 마포구 마포대로24길 16 공덕자이아파트지원센터 (아현동, 공덕자이 아파트)",02-313-7870,공덕자이아파트내(자이안센터),라디안큐바이오,공덕자이아파트,126.9585571,37.55325435
HeartPlus NT-180,39,18,함**,02-******,서울특별시 마포구 월드컵북로 502-14 서울하늘초등학교 (상암동),02-305-7762,서울하늘초등학교 1층 중앙현관 계단 벽,나눔테크,서울하늘초등학교,126.8808619,37.5858088
NF1200,88,48,손**,886****,"서울특별시 관악구 호암로 417  (신림동, 국제산장아파트)",886-0422,경비실,(주)씨유메디칼시스템,국제산장아파트,126.9269935,37.46086353
심장충격기,40,36,정**,02-******,"서울특별시 마포구 양화로 45  (서교동, 메세나폴리스)",02-334-8181,메세나폴리스아파트 101동 B1층,RADIAN,메세나폴리스아파트,126.9140332,37.55080214
심장충격기,40,36,정**,02-******,"서울특별시 마포구 양화로 45  (서교동, 메세나폴리스)",02-334-8181,메세나폴리스아파트 102동 B1층,RADIAN,메세나폴리스아파트,126.9132465,37.55101105
심장충격기,40,36,정**,02-******,"서울특별시 마포구 양화로 45  (서교동, 메세나폴리스)",02-334-8181,메세나폴리스아파트 103동 B1층,RADIAN,메세나폴리스아파트,126.9138909,37.55153184
자동제세동기(HeartStart HS1),41,61,이**,010********,서울특별시 마포구 토정로31길 23  (용강동),02-704-6112,래미안마포리버웰 106동 지하1층 생활지원센터 입구,필립스,래미안마포리버웰,126.9414692,37.54164018
HR-503-A,77,88,박**,010********,서울특별시 강서구 마곡중앙로 161-1  (마곡동),02-3665-9085,A출입구 현관 옆,(주)라디안,마곡나루역캐슬파크,126.8274545,37.56786593
HR-501-B,28,26,관**,010********,"서울특별시 성북구 아리랑로 75  (돈암동, 돈암코오롱하늘채)",02-927-7650,관리동 입구,라디안,돈암코오롱하늘채아파트,127.0136249,37.59883044
HeartPlus NT-180,72,8,백**,02-*******,서울특별시 영등포구 선유로49길 23  (양평동4가),02-6123-4100,1층 로비안내데스크,나눔테크,선유도역2차이즈비즈타워,126.8950593,37.53618647
HeartPlus NT-180,74,36,차**,010********,"서울특별시 영등포구 대방천로14길 34  (신길동, 보라매정은 벚꽃마을)",02-833-1479,아파트 관리소,나눔테크,보라매벚꽃마을아파트,126.9101934,37.4959195
HeartPlus NT-180,72,0,고**,02-*******,서울특별시 영등포구 노들로 11 상수도사업본부 영등포아리수정수센터 (양화동),02-3146-5615,로비,(주)나눔테크,영등포아리수정수센터,126.8820126,37.55091504
HeartPlus NT-180,31,65,김**,010********,"서울특별시 종로구 송월길 99  (홍파동, 경희궁자이 2단지)",02-723-2107,관리사무소 내,(주)나눔테크,경희궁자이2단지아파트,126.9631996,37.57110013
HeartPlus NT-180,31,65,김**,010********,"서울특별시 종로구 송월길 99  (홍파동, 경희궁자이 2단지)",02-723-2107,자이안센터(주민운동시설)내,(주)나눔테크,경희궁자이2단지아파트,126.9637546,37.57051465
HeartPlus NT-180,31,65,김**,010********,"서울특별시 종로구 송월길 99  (홍파동, 경희궁자이 2단지)",02-723-2107,시니어센터(경로당)내,(주)나눔테크,경희궁자이2단지아파트,126.96457,37.56962066
HeartPlus NT-180,31,80,장**,010********,"서울특별시 종로구 경교장길 35  (평동, 경희궁자이 3단지)",02-737-2101,관리사무소 앞,(주)나눔테크,경희궁자이3단지아파트,126.9651454,37.56892752
HeartPlus NT-180,31,80,장**,010********,"서울특별시 종로구 경교장길 35  (평동, 경희궁자이 3단지)",02-737-2101,헬스장 앞,(주)나눔테크,경희궁자이3단지아파트,126.9651454,37.56892752
HeartPlus NT-180,31,80,장**,010********,"서울특별시 종로구 경교장길 35  (평동, 경희궁자이 3단지)",02-737-2101,경로당 앞,(주)나눔테크,경희궁자이3단지아파트,126.9651454,37.56892752
heartplus NT-180,72,7,정**,010********,서울특별시 영등포구 양평로21길 26 선유도역 1차 이즈비즈타워 (양평동5가),02-6968-1004,1층 로비,(주)나눔테크,선유도역1차이즈비즈타워,126.8918414,37.53629223
HeartPlus NT-180,72,76,손**,02-*******,"서울특별시 영등포구 영등포로3길 9 양평동 삼성아파트 (양평동2가, 양평동삼성아파트)",02-2631-4852,정문 경비실,나눔테크,양평삼성아파트,126.8821637,37.52465168
HeartPlus NT-180,72,8,이**,02-*******,"서울특별시 영등포구 양평로17길 9 경남아너스빌 (양평동4가, 경남아너스빌)",02-2068-9010,1층 중앙 로비,나눔테크,양평경남2차아너스빌,126.8962148,37.53567059
HeartPlus NT-180,74,15,오**,02-*******,서울특별시 영등포구 도림로 145 남부도로사업소 (대림동),02-3284-5410,당직실,㈜나눔테크,남부도로사업소,126.8979512,37.49427487
HeartPlus NT-180,72,97,이**,02-*******,서울특별시 영등포구 문래로 164 sk리더스뷰 (문래동3가),02-2675-4114,102동 1층 보안실,나눔테크,영등포sk리더스뷰,126.9000769,37.5177939
HeartPlus NT-180,72,97,이**,02-*******,서울특별시 영등포구 문래로 164 영등포 sk리더스뷰 (문래동3가),02-2675-4114,101동 1층 보안실,나눔테크,영등포sk리더스뷰2,126.9000769,37.5177939
HeartPlus NT-180,72,31,조**,02-*******,서울특별시 영등포구 여의서로 82 한강사업본부 수상안전과 (여의도동),02-3780-0575,사무실 현관 안쪽,나눔테크,한강사업본부수상안전과(미래한강본부 수상안전과 관공선관리센터),126.9220055,37.53420892
HeartPlus NT-180,73,17,문**,02-******,서울특별시 영등포구 영등포로64길 15 영등포 청소년문화의집 (신길동),02-836-2145,1층 청소년독서실 안내데스크,㈜나눔테크,영등포청소년문화의집,126.9170766,37.51365785
HEART START HS1,49,63,윤**,010********,서울특별시 광진구 워커힐로 177 그랜드워커힐호텔 (광장동),02-450-4406,아카디아  관리사무소,필립스,sk네트웍스(주)워커힐,127.1117068,37.55862873
HR-501,12,32,임**,010********,"서울특별시 강북구 오현로 56  (미아동, 꿈의숲 롯데캐슬)",02-985-6031,커뮤니티센터,라디안,꿈의숲롯데캐슬아파트,127.0366249,37.61722194
HeartPlus NT-180,39,18,박**,02-******,서울특별시 마포구 가양대로 203  (상암동),02-300-8309,1층 자율도서관 옆,나눔테크,서부도로사업소,126.8848103,37.58599544
HeartPlus NT-180,39,0,김**,010********,서울특별시 마포구 한강난지로 162  (상암동),02-3780-0611,안내센터 사무실,나눔테크,한강사업본부난지안내센터,126.8854229,37.56283724
HeartPlus NT-180,40,5,김**,02-*******,서울특별시 마포구 마포나루길 467  (망원동),02-3780-0601,3층  안내센터사무실,나눔테크,한강사업본부망원안내센터,126.8998865,37.55234368
HeartPlus NT-180,27,18,장**,010********,"서울특별시 성북구 보국문로4길 8  (정릉동, 대진빌딩)",02-2241-5992,1층 입구 안,㈜나눔테크,정릉아동보건지소,127.0119862,37.60523125
HeartPlus NT-180,28,47,박**,010********,"서울특별시 성북구 보문로 192, 돈암119 안전센터 (삼선동4가)",02-6981-7361,1층 사무실,㈜나눔테크,성북소방서돈암119안전센터(구급차),127.0144387,37.59098811
HeartPlus NT-180,28,72,서**,010********,서울특별시 성북구 지봉로24길 26  (보문동5가),02-6959-8256,1층 엘리베이터 옆,나눔테크,성북구육아종합지원센터(보문),127.0193238,37.58387317
HeartPlus NT-180,27,50,백**,010********,서울특별시 성북구 오패산로10길 19  (하월곡동),02-2241-0770,1층 복도 화장실 옆,나눔테크,성북구육아종합지원센터(월곡),127.0379521,37.60567986
HeartPlus NT-180,69,64,김**,010********,"서울특별시 동작구 상도로30길 40  (상도동, 상도2차두산위브트레지움아파트)",02-827-0510,아파트정문 경비실 내,㈜나눔테크,상도두산위브트레지움2차아파트,126.9424032,37.50398531
HeartPlus NT-180,69,55,남**,010********,서울특별시 동작구 대방동1길 46  (대방동),02-2082-1974,보건실,나눔테크,서울공업고등학교,126.922363,37.50190126
HeartPlus NT-180,69,55,남**,010********,서울특별시 동작구 대방동1길 46  (대방동),02-2082-1974,체육관,나눔테크,서울공업고등학교,126.922363,37.50190126
HeartPlus NT-180,69,46,유**,010********,서울특별시 동작구 대방동길 74  (대방동),02-815-3645,본관 1층 보건실 앞,나눔테크,서울성남고등학교,126.9265318,37.50524692
HeartPlus NT-180,69,44,이**,02-******,서울특별시 동작구 여의대방로36길 79  (대방동),02-810-7829,1층 엘리베이터 옆,㈜나눔테크,서울숭의여자고등학교,126.9289611,37.50767662
HeartPlus NT-180,69,89,윤**,070********,서울특별시 동작구 사당로27길 232  (사당동),02-595-5556,체육관 내,나눔테크,동작구시설관리공단(사당종합체육관),126.9697426,37.49280633
HeartPlus NT-180,69,89,송**,010********,"서울특별시 동작구 사당로27길 181  (사당동, 사당 롯데캐슬)",02-3476-7786,정문 경비실,나눔테크,사당롯데캐슬2차아파트,126.9716261,37.49055149
HeartPlus NT-180,69,63,서**,02-******,"서울특별시 동작구 장승배기로 70, 동작구청 (상도동)",02-820-1701,3층 구의회사무국 사무실 출입문 앞,나눔테크,동작구의회,126.9402697,37.50423743
HeartPlus NT-180,70,55,김**,02-******,서울특별시 동작구 여의대방로 130  (대방동),02-811-9876,파출소 1층,나눔테크,대방파출소,126.920574,37.49856527
HeartPlus NT-180,69,55,민**,02-*******,서울특별시 동작구 대방동15길 29,02-2086-6864,신관 1층 시청각실 앞,나눔테크,강남중학교,126.9233466,37.50276263
HeartPlus NT-180,55,2,화**,02-*******,서울특별시 송파구 한가람로 65  (잠실동),02-3780-0511,3층 사무실 앞,나눔테크,한강사업본부잠실안내센터,127.0867365,37.51762763
HeartPlus NT-180,58,37,남**,02-*******,"서울특별시 송파구 송파대로 111  (문정동, 파크하비오)",02-3402-0400,105동 1층,㈜나눔테크,송파파크하비오푸르지오아파트,127.1231277,37.48016662
HeartPlus NT-180,56,49,오**,010********,서울특별시 송파구 양재대로 1278  (방이동),02-2152-2414,보건실 앞,㈜나눔테크,서울보성고등학교,127.1351887,37.519779
HeartPlus NT-180,58,52,김**,010********,"서울특별시 송파구 위례광장로 270  (장지동, 송파와이즈더샵)",02-401-6040,경비실,㈜나눔테크,송파와이즈더샵아파트,127.1438655,37.47658336
HeartPlus NT-180,66,80,공**,02-******,서울특별시 서초구 방배로23길 31-6  (방배동),02-521-8320,지하1층 반딧불센터,㈜나눔테크,방배1동반딧불센터,126.9925601,37.48545279
HeartPlus NT-180,65,63,이**,02-******,서울특별시 서초구 방배로33길 39  (방배동),02-532-2336,1층 반딧불센터,㈜나눔테크,방배4동반딧불센터,126.9887376,37.491273
HeartPlus NT-180,67,25,김**,02-*******,서울특별시 서초구 남부순환로339길 47-1  (서초동),02-521-0364,반딧불센터 사무실 안쪽,나눔테크,서초1동반딧불센터,127.0216906,37.48488655
HeartPlus NT-180,65,13,김**,02-*******,서울특별시 서초구 잠원로 221-124  (잠원동),02-3780-0531,안내센터사무실,㈜나눔테크,한강사업본부잠원안내센터,127.0122729,37.52075055
HeartPlus NT-180,45,91,문**,02-*******,서울특별시 중구 청구로3길 69  (신당동),02-2234-3517,2층 정보화교실,나눔테크,청구노인복지센터,127.0143317,37.5565594
HeartPlus NT-180,46,5,박**,02-*******,서울특별시 중구 장충단로 88  (장충동2가),02-3146-2021,1층 사업소 입구,㈜나눔테크,상수도사업본부중부수도사업소,127.0030284,37.55349314
HeartPlus NT-180,47,42,윤**,010********,서울특별시 성동구 독서당로62길 28  (응봉동),02-2281-0816,중앙현관 1층 숙직실 옆,(주)나눔테크,서울응봉초등학교,127.0338297,37.55025339
HeartPlus NT-180,33,90,보**,02-******,서울특별시 은평구 통일로 793  (대조동),02-355-6852,2층 보건실 앞,나눔테크,서울동명여자정보산업고등학교,126.9228204,37.61441879
HeartPlus NT-180,30,66,임**,745****,서울특별시 종로구 성균관로 91  (혜화동),02-6048-1282,헬스장,나눔테크,올림픽기념국민생활관,126.9987998,37.5904592
HeartPlus NT-180,30,66,임**,745****,서울특별시 종로구 성균관로 91  (혜화동),02-6048-1282,수영장,㈜나눔테크,올림픽기념국민생활관,126.9987998,37.5904592
HeartPlus NT-180,30,51,정**,02-******,서울특별시 종로구 창덕궁길 164  (계동),02-742-1321,체육관 입구,나눔테크,서울중앙고등학교,126.9874726,37.58378822
HeartPlus NT-180,30,72,강**,366*****,서울특별시 종로구 율곡로 99  (와룡동),02-3668-2345,동궐마루,나눔테크,창덕궁관리소,126.9897103,37.57886973
HeartPlus NT-180,69,63,노**,02-******,서울특별시 동작구 장승배기로10길 42  (상도동),02-820-1613,3층 중앙홀,나눔테크,동작문화복지센터,126.9410884,37.50444553
HeartPlus NT-180,55,2,류**,02-******,서울특별시 송파구 잠실로 26  (잠실동),02-3434-4415,1층 로비,㈜나눔테크,강동송파교육지원청,127.0888584,37.51444534
HeartPlus NT-180,80,49,정**,02-*******,"서울특별시 양천구 신정이펜1로 20, 서울특별시서남병원 (신정동)",02-6300-7595,지하1층 안내데스크,㈜나눔테크,서남병원,126.8331315,37.51202035
HeartPlus NT-180,30,58,전**,02-*******,서울특별시 종로구 율곡로 89  (원서동),02-2148-3615,센터 입구,나눔테크,웰니스센터,126.9889744,37.57784118
HeartPlus NT-180,31,26,박**,02-******,서울특별시 종로구 대학로 10  (효제동),02-708-6574,1층 중앙현관,나눔테크,중부교육지원청,127.0029377,37.57185897
HeartPlus NT-180,30,73,배**,070********,서울특별시 종로구 성균관로1길 6-3  (명륜3가),02-737-0890,3층,㈜나눔테크,종로구육아종합지원센터,126.997781,37.58343865
HeartPlus NT-180,61,75,임**,2-0*******,"서울특별시 강남구 테헤란로114길 11, 강남경찰서 (대치동)",02-3673-9552,2층 유치장,나눔테크,강남경찰서,127.0670999,37.50936668
HeartPlus NT-180,61,53,송**,010********,서울특별시 강남구 선릉로100길 1  (삼성동),02-568-1291,정문 수표소 내,나눔테크,선릉정릉,127.05193,37.50713019
HeartPlus NT-180,75,18,전**,02-*******,서울특별시 강서구 양천로27길 279-23  (방화동),02-3780-0621,안내센터 사무실,(주)나눔테크,한강사업본부 강서안내센터,126.8171458,37.58603967
HR-501B,28,74,김**,010********,"서울특별시 성북구 보문사길 111  (보문동6가, 보문파크뷰자이)",02-927-9110,관리사무소 내,라디안,보문파크뷰자이아파트,127.0178925,37.58287149
NT-381,83,42,권**,02-******,서울특별시 구로구 오리로10길 44-3 오류보건지소 (오류동),02-860-8160,오류보건지소 1층 엘리베이터 옆,나눔테크,구로구보건소오류보건지소,126.8388719,37.48857831
HeartPlus NT-180,31,4,배**,367*****,"서울특별시 종로구 지봉로5길 7-5, 종로구구민회관, 보건소통합청 (창신동)",02-3672-2530,지하1층 수영장,나눔테크,종로구민회관,127.0143661,37.57350028
HeartPlus NT-180,52,82,이**,010********,"서울특별시 강동구 천호대로219길 61, 상일여자중고등학교 (상일동)",02-427-9575,체육관 1층 복도,(주)나눔테크,상일여자고등학교,127.1702183,37.54795369
G3plus9390A,34,69,양**,02-******,"서울특별시 은평구 백련산로 37  (응암동, 힐스테이트백련산4차아파트)",02-304-9116,관리사무소입구,CARDIAC,백련산힐스테이트4차아파트,126.9222735,37.58941369
Heart Keeper,82,53,천**,010********,"서울특별시 구로구 고척로 49 제1관리사무소(분양동) (오류동, 동부골든아파트)",02-2614-3557,관리사무소 입구,나눔테크,오류동부골든아파트(분양),126.841367,37.50000771
HeartOn A15-G4,78,9,목**,010********,"서울특별시 강서구 마곡중앙1로 71  (마곡동, 마곡13단지힐스테이트마스터)",02-3664-7070,입주민지원센터 1층 출입현관,메디아나,마곡13단지힐스테이트마스터아파트,126.8178734,37.55690985
Heart Guardian HR-503,43,1,허**,010********,서울특별시 용산구 청파로 378 공항철도 서울역 (동자동),032-745-7400,지하2층 도심공항 터미널,(주)라디안,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-501-B,43,1,허**,010********,서울특별시 용산구 청파로 378 공항철도 서울역 (동자동),032-745-7400,지하7층 직통열차 승강장,(주)라디안,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-501-B,43,1,허**,010********,서울특별시 용산구 청파로 378 공항철도 서울역 (동자동),032-745-7400,지하7층 일반열차 승강장,(주)라디안,공항철도서울역,126.9704843,37.54911848
HeartOn A15-G4,78,9,목**,010********,"서울특별시 강서구 마곡중앙1로 71  (마곡동, 마곡13단지힐스테이트마스터)",02-3664-7070,정문 경비초소,메디아나,마곡13단지힐스테이트마스터아파트,126.8178734,37.55690985
Heart Guardian HR-503,39,28,이**,032*******,서울특별시 마포구 성암로 지하 184 공항철도 DMC역 (상암동),032-745-7430,지하1층 역무실 앞 기둥,라디안큐바이오,공항철도(주)DMC역,126.8981594,37.57737791
Heart Guardian HR-501-B,43,1,허**,010********,서울특별시 용산구 청파로 378 공항철도 서울역 (동자동),032-745-7400,지하3층 환승통로,(주)라디안,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-501,40,51,이**,032*******,서울특별시 마포구 양화로 지하 188 공항철도 홍대입구역 (동교동),032-745-7420,지하2층 환승통로,라디안큐바이오,공항철도(주)홍대입구역,126.9269615,37.55741083
Heart Guardian HR-501,40,51,이**,032*******,서울특별시 마포구 양화로 지하 188 공항철도 홍대입구역 (동교동),032-745-7420,지하4층 하행승강장,라디안큐바이오,공항철도(주)홍대입구역,126.9269615,37.55741083
Heart Guardian HR-503,43,1,허**,010********,서울특별시 용산구 청파로 378 공항철도 서울역 (동자동),032-745-7400,지하3층 대합실 앞,(주)라디안,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-501,40,51,이**,032*******,서울특별시 마포구 양화로 지하 188 공항철도 홍대입구역 (동교동),032-745-7420,지하4층 상행승강장,라디안큐바이오,공항철도(주)홍대입구역,126.9269615,37.55741083
Heart Guardian HR-503,40,51,이**,032*******,서울특별시 마포구 양화로 지하 188 공항철도 홍대입구역 (동교동),032-745-7420,지하2층 대합실,라디안큐바이오,공항철도(주)홍대입구역,126.9269615,37.55741083
HeartOn A15-G4,58,14,김**,024******,"서울특별시 송파구 위례순환로 477 위례포레샤인아파트 (장지동, 위례포레샤인23단지)",02-401-3352,관리사무소 출입구,메디아나,위례포레샤인아파트 23단지,127.1355511,37.4760264
저출력심장충격기,33,70,한**,02-******,"서울특별시 은평구 통일로 660  (녹번동, 북한산푸르지오아파트)",02-389-7394,관리사무소,라디안,북한산푸르지오아파트,126.9363983,37.60661486
HR-501-B,49,64,김**,010********,서울특별시 광진구 아차산로 637 워커힐 아파트,02-444-8132,워커힐아파트 정문초소,(주)라디안큐바이오,워커힐아파트,127.10762,37.54999151
HR-501,70,1,장**,02-******,"서울특별시 동작구 사당로23길 112  (사당동, 래미안 로이파크)",02-595-9481,생활지원센터 1층,(주)라디안,래미안로이파크아파트,126.9733831,37.4877494
Heart Pro NT-280,33,2,우**,02-******,"서울특별시 은평구 진관3로 70  (진관동, 은평뉴타운상림마을)",02-355-6307,정문경비실,나눔테크,은평뉴타운 상림마을 12단지,126.9231411,37.64225983
Heart Pro NT-280,33,2,우**,02-******,"서울특별시 은평구 진관3로 70  (진관동, 은평뉴타운상림마을)",02-355-6307,관리사무실,나눔테크,은평뉴타운 상림마을 12단지,126.9231411,37.64225983
AED-3100,27,57,김**,010********,"서울특별시 성북구 돌곶이로 220  (장위동, 꿈의숲코오롱하늘채아파트)",02-919-9378,관리사무소 홀,니혼코덴코리아(주),꿈의숲코오롱하늘채아파트,127.0465312,37.61898619
HR-501-B,53,76,원**,02-******,서울특별시 강동구 양재대로 1393  (성내동),489-0301,전시장 내,라디안,엘앤티모터스(토요타강동전시장),127.1368405,37.53048364
Heart Guardian HR-501-B,47,11,임**,02-*******,"서울특별시 성동구 난계로 100 (하왕십리동, 왕십리자이)",02-2291-4256,관리사무소 안,(주)라디안큐바이오,왕십리자이아파트,127.0246515,37.5615293
Heart Guardian HR-501,41,68,신**,032*******,서울특별시 마포구 마포대로 지하 92 공항철도 공덕역 (도화동),02-701-7284,지하3층 대합실 환승게이트,라디안큐바이오,공항철도(주)공덕역,126.9521969,37.54254304
Heart Guardian HR-501,41,68,신**,032*******,서울특별시 마포구 마포대로 지하 92 공항철도 공덕역 (도화동),02-701-7284,지하 5층 상행승강장,라디안큐바이오,공항철도(주)공덕역,126.9521969,37.54254304
Heart Guardian HR-501,41,68,신**,032*******,서울특별시 마포구 마포대로 지하 92 공항철도 공덕역 (도화동),02-701-7284,지하5층 하행승강장,라디안큐바이오,공항철도(주)공덕역,126.9521969,37.54254304
Heart Guardian HR-501,47,86,김**,02-*******,서울특별시 성동구 뚝섬로15길 9  (성수동2가),080-777-0300,서비스센터 내,(주)라디안큐바이오,엘앤티모터스(토요타성수서비스센터),127.0599294,37.53835065
Heart Guardian HR-501-B,69,42,김**,02-******,서울특별시 동작구 여의대방로44길 47 대방주공1차아파트 (대방동),28249974,관리동 1층 정문,(주)라디안,대방주공1차아파트,126.9304271,37.5099255
SP-1 PLUS,72,36,조**,010********,서울특별시 영등포구 의사당대로 16 글래드호텔 여의도 (여의도동),010-2923-7575,1층 로비,씨유메디칼,여의도글래드호텔,126.9172652,37.52740945
i-PAD CU-SP1 Plus,41,68,홍**,02-*******,서울특별시 마포구 마포대로 92 글래드 마포 (도화동),02-6222-5311,9층 프론트 데스크 앞 창가,씨유메디칼시스템,(주)대림코퍼레이션글래드마포,126.951336,37.54284362
